id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
6621-0xb3f95707e903304138a264f0955663594090494a,6621,0xb3f95707e903304138a264f0955663594090494a,290000000000000000,0.29,WETH,2022-03-12 22:20:48,0x0c86d4e1d8afb220cc3c00ed330e55d137c6ad829e601df2088152bf17cd497f
3516-0xb3f95707e903304138a264f0955663594090494a,3516,0xb3f95707e903304138a264f0955663594090494a,350000000000000000,0.35,WETH,2022-03-12 22:20:48,0x8ca38e8572edf7f6d8a41b41c11d689a46caa97f043ef219390e88eb77b5b8d7
5785-0xb3f95707e903304138a264f0955663594090494a,5785,0xb3f95707e903304138a264f0955663594090494a,290000000000000000,0.29,WETH,2022-03-12 22:20:28,0x7466b5021fb45aca8415eb50175185cbf0340e59b2624378c847daa7397fb9a8
8149-0xb3f95707e903304138a264f0955663594090494a,8149,0xb3f95707e903304138a264f0955663594090494a,400000000000000000,0.4,WETH,2022-03-12 22:19:54,0xef0f4c791fb69edf082982a5ba22af1b37fb8c3e4e925024893a1e8aaeda3741
2595-0xb9f5039273a63275d2f15e3c970bdbfcf47d0a5f,2595,0xb9f5039273a63275d2f15e3c970bdbfcf47d0a5f,1000000000000000000,1.0,WETH,2022-03-12 16:45:06,0x62370abf0ee44dd434fd4941099a8405a956ae58b713acd2bd6d14e50939a3a4
8345-0xa505f9a6ddd17327f4c002020276e3f0dbe74546,8345,0xa505f9a6ddd17327f4c002020276e3f0dbe74546,100000000000000000,0.1,WETH,2022-03-03 21:29:51,0x38165252d03fe3744ca197eb37d791c27942c6f33f203e6af560c04194777e47
3523-0x22b660f6e6a007acea649acd028a8d057c15620c,3523,0x22b660f6e6a007acea649acd028a8d057c15620c,180000000000000000,0.18,WETH,2022-03-02 10:49:31,0xc719eca4d065a559ba12652b421248c8a27cb1258d612bde3a8db95e2e9842fd
3516-0x91e163f58c260da2c9f957bf7d43fe72d944db9a,3516,0x91e163f58c260da2c9f957bf7d43fe72d944db9a,500000000000000000,0.5,WETH,2022-03-01 23:33:16,0xbbb06ac930c393044b36e966727a197d9b916d032b8bd2fd2c7e9cab4ae3d0ba
2611-0x0885f0e1a641f08416536e3921c30c5d9dc9c0f4,2611,0x0885f0e1a641f08416536e3921c30c5d9dc9c0f4,100000000000000000,0.1,WETH,2022-03-01 18:37:24,0x6cf1a8a29daa86f446a1983aebc3cc592e85962c97ec39a9209de841c685a614
8105-0xfd9b1334d84b69eaf603250b0d50dab70327eb0b,8105,0xfd9b1334d84b69eaf603250b0d50dab70327eb0b,1500000000000000,0.0015,WETH,2022-02-25 01:45:10,0x6633dd82eab0dff723631e6783db06e5f7dedd47d38fcac88bd1b398ceaa0750
